npersons,years_in_uni,oldest_age,field,RFCD.Code.1,midpoint,status
2.0,0,66.0,0,270799,0,1
1.0,0,51.0,0,270106,0,0
1.0,0,36.0,0,270708,0,0
1.0,1,46.0,0,270603,0,0
4.0,2,46.0,1,240402,0,1
2.0,0,46.0,0,270603,0,0
1.0,0,36.0,2,250103,0,1
2.0,1,45.0,0,270603,0,1
1.0,0,35.0,3,380107,0,1
2.0,0,51.0,0,270203,0,1
3.0,0,72.0,3,380199,0,1
4.0,2,41.0,1,240401,0,1
1.0,2,35.0,1,240101,0,1
2.0,0,56.0,3,380303,0,0
2.0,0,56.0,3,380201,0,1
2.0,0,52.0,0,270199,0,1
3.0,0,51.0,0,270403,0,1
1.0,0,32.0,0,270602,0,0
1.0,2,61.0,3,380106,0,0
1.0,0,31.0,0,270199,0,1
2.0,0,50.0,0,270708,0,1
2.0,0,61.0,3,380103,0,1
2.0,0,40.0,0,270208,0,0
2.0,0,31.0,0,270203,0,0
1.0,0,27.0,0,270201,0,0
2.0,2,56.0,0,270599,0,1
1.0,0,36.0,0,270702,0,1
4.0,0,51.0,0,270299,0,1
2.0,0,41.0,0,270208,0,0
1.0,0,60.0,3,380107,0,0
2.0,1,45.0,0,270603,0,1
3.0,2,58.0,0,270707,0,1
1.0,0,46.0,0,270103,0,1
1.0,0,31.0,0,270707,0,1
1.0,0,27.0,3,380107,0,0
1.0,1,35.0,0,270108,0,1
3.0,0,41.0,0,270402,0,0
1.0,1,41.0,0,270603,0,1
2.0,1,58.0,3,380199,0,1
2.0,1,38.0,0,270702,0,1
1.0,1,31.0,0,270707,0,0
1.0,0,41.0,0,270603,0,1
2.0,2,55.0,0,270202,0,0
1.0,0,36.0,0,270702,0,0
1.0,0,50.0,0,270104,0,0
1.0,0,35.0,0,270201,0,0
1.0,2,56.0,0,270599,0,0
2.0,0,42.0,0,270402,0,1
1.0,0,36.0,3,380203,0,1
1.0,0,40.0,4,370499,0,1
1.0,1,35.0,0,270103,0,0
