question,segment_type,segment_description,answer,count,percentage
What social platform has influenced your online shopping most?,Mobile,Global results,Facebook,413,0.204
What social platform has influenced your online shopping most?,Mobile,Global results,Instagram,628,0.31
What social platform has influenced your online shopping most?,Mobile,Global results,Snapchat,55,0.027
What social platform has influenced your online shopping most?,Mobile,Global results,Twitter,118,0.058
What social platform has influenced your online shopping most?,Mobile,Global results,None,810,0.4
What social platform has influenced your online shopping most?,Web,Web,Facebook,0,0.0
What social platform has influenced your online shopping most?,Web,Web,Instagram,0,0.0
What social platform has influenced your online shopping most?,Web,Web,Snapchat,0,0.0
What social platform has influenced your online shopping most?,Web,Web,Twitter,0,0.0
What social platform has influenced your online shopping most?,Web,Web,None,1,1.0
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,154,0.205
What social platform has influenced your online shopping most?,Gender,Female voters,Instagram,337,0.449
What social platform has influenced your online shopping most?,Gender,Female voters,Snapchat,16,0.021
What social platform has influenced your online shopping most?,Gender,Female voters,Twitter,30,0.04
What social platform has influenced your online shopping most?,Gender,Female voters,None,213,0.284
What social platform has influenced your online shopping most?,Gender,Male voters,Facebook,259,0.203
What social platform has influenced your online shopping most?,Gender,Male voters,Instagram,291,0.228
What social platform has influenced your online shopping most?,Gender,Male voters,Snapchat,38,0.03
What social platform has influenced your online shopping most?,Gender,Male voters,Twitter,88,0.069
What social platform has influenced your online shopping most?,Gender,Male voters,None,598,0.469
What social platform has influenced your online shopping most?,University,Indiana University-Purdue University Indianapolis,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Indiana University-Purdue University Indianapolis,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Indiana University-Purdue University Indianapolis,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Indiana University-Purdue University Indianapolis,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Indiana University-Purdue University Indianapolis,None,0,0.0
What social platform has influenced your online shopping most?,University,Loyola Marymount University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Loyola Marymount University,Instagram,1,0.5
What social platform has influenced your online shopping most?,University,Loyola Marymount University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Loyola Marymount University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Loyola Marymount University,None,1,0.5
What social platform has influenced your online shopping most?,University,University of Dayton,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Dayton,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Dayton,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Dayton,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Dayton,None,1,1.0
What social platform has influenced your online shopping most?,University,UMass Amherst,Facebook,1,1.0
What social platform has influenced your online shopping most?,University,UMass Amherst,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,UMass Amherst,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,UMass Amherst,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,UMass Amherst,None,0,0.0
What social platform has influenced your online shopping most?,University,Brock University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Brock University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Brock University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Brock University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Brock University,None,0,0.0
What social platform has influenced your online shopping most?,University,San Diego State University,Facebook,19,0.136
What social platform has influenced your online shopping most?,University,San Diego State University,Instagram,64,0.457
What social platform has influenced your online shopping most?,University,San Diego State University,Snapchat,3,0.021
What social platform has influenced your online shopping most?,University,San Diego State University,Twitter,11,0.079
What social platform has influenced your online shopping most?,University,San Diego State University,None,43,0.307
What social platform has influenced your online shopping most?,University,Pinnacle High School,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Pinnacle High School,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Pinnacle High School,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Pinnacle High School,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Pinnacle High School,None,0,0.0
What social platform has influenced your online shopping most?,University,Baltimore City College,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Baltimore City College,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Baltimore City College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Baltimore City College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Baltimore City College,None,1,1.0
What social platform has influenced your online shopping most?,University,New York University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,New York University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,New York University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,New York University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,New York University,None,1,1.0
What social platform has influenced your online shopping most?,University,Case Western Reserve University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Case Western Reserve University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Case Western Reserve University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Case Western Reserve University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Case Western Reserve University,None,2,1.0
What social platform has influenced your online shopping most?,University,Rutgers University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Rutgers University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Rutgers University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Rutgers University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Rutgers University,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Oregon,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,University of Oregon,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Oregon,Snapchat,1,0.333
What social platform has influenced your online shopping most?,University,University of Oregon,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Oregon,None,1,0.333
What social platform has influenced your online shopping most?,University,University of Toronto,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Toronto,Instagram,1,0.5
What social platform has influenced your online shopping most?,University,University of Toronto,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Toronto,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Toronto,None,1,0.5
What social platform has influenced your online shopping most?,University,State University of New York Geneso,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,State University of New York Geneso,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,State University of New York Geneso,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,State University of New York Geneso,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,State University of New York Geneso,None,1,1.0
What social platform has influenced your online shopping most?,University,Carthage College,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Carthage College,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Carthage College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Carthage College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Carthage College,None,1,1.0
What social platform has influenced your online shopping most?,University,University of South Carolina,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of South Carolina,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of South Carolina,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of South Carolina,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of South Carolina,None,2,1.0
What social platform has influenced your online shopping most?,University,Wesleyan University,Facebook,1,1.0
What social platform has influenced your online shopping most?,University,Wesleyan University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Wesleyan University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Wesleyan University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Wesleyan University,None,0,0.0
What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Kansas,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Kansas,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Kansas,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Kansas,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,University of Kansas,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Redlands,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Redlands,Instagram,2,1.0
What social platform has influenced your online shopping most?,University,University of Redlands,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Redlands,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Redlands,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Arkansas,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Arkansas,Instagram,3,0.375
What social platform has influenced your online shopping most?,University,University of Arkansas,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Arkansas,Twitter,2,0.25
What social platform has influenced your online shopping most?,University,University of Arkansas,None,3,0.375
What social platform has influenced your online shopping most?,University,Richland High School,Facebook,0,0.0
